path,class_raw,label,crop,split
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\f75755aa-4cac-4e64-9244-453eb4697044___NREC_B.Spot 1964.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\f6a20939-1617-49f7-a7a4-1dde2020426b___JR_B.Spot 3365.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\178e960f-3250-4378-9783-765b65e54217___NREC_B.Spot 1881.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\6b1b260e-fab5-4a73-936c-5592119c13fe___NREC_B.Spot 1952.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\1e6d8dc0-a694-47e0-af80-81ccabdfd591___JR_B.Spot 3308.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\5f1731b8-21ee-43d8-a019-8591428f4e3e___JR_B.Spot 9003.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\3ff12256-cb79-4a74-8c2f-2df51b31d646___NREC_B.Spot 9242.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\e2bc1ccf-bbc2-457b-89cb-6e7154ec3414___NREC_B.Spot 9092.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\be6cc3db-0571-47d0-87f4-f01491a6ea16___NREC_B.Spot 9217.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\c94ae9a2-f5b0-4da4-9bd1-c66ef5b0ad74___JR_B.Spot 3167.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\f409b53e-61e7-4aa5-8a6c-ae0f1c828099___JR_B.Spot 8955.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\17c4557b-7a8f-4ded-b11c-6c5ba3532f37___JR_B.Spot 8824.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\d8f12aac-c54d-40e0-9ec3-ea6f0220314a___JR_B.Spot 3248.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\14a96020-2720-43c5-8638-e70b90ebd573___JR_B.Spot 9039.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\5c532630-a204-4e10-8fb4-5a0d09f9a1eb___JR_B.Spot 3214.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\bc2a7448-1dbb-4bb0-8d26-d012530c7daf___JR_B.Spot 3231.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\37e9bf3a-85da-4114-8e69-185498b9a9af___JR_B.Spot 3337.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\ccbb9ddc-2afa-4dc9-995a-1ed4167747a1___JR_B.Spot 3328.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,train
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\0fcbdf76-fcc4-4271-986a-9466a784d404___JR_B.Spot 3374.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\10af9ff3-16c3-4cb0-8af0-71d3b8442206___NREC_B.Spot 9090.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\cbb8c960-5659-4bf1-b75e-f5b2e65b7c0b___NREC_B.Spot 9074.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,test
C:\storage\zee\projects\Karunya\data\raw\PlantVillage\Pepper__bell___Bacterial_spot\66dc5b26-4643-4c8b-a95b-d273ead3672b___JR_B.Spot 3191.JPG,Pepper__bell___Bacterial_spot,Pepper bell | Bacterial spot,Pepper,val
