configuration,n_features,macro_F1,delta
all 97 features,97,0.8531682114178936,0.0
without B1 (colour moments),79,0.8329964456279187,-0.020171765789974816
without B2 (HSV histogram),65,0.8276093540835954,-0.02555885733429819
without B3 (lesion chromaticity),89,0.8452561137302971,-0.007912097687596487
without B4 (GLCM texture),73,0.8308054638313455,-0.022362747586548104
without B5 (uniform LBP),87,0.8330572429986753,-0.020110968419218223
without B6 (shape),92,0.8495462788806251,-0.003621932537268502
B1 only (colour moments),18,0.6150486944010655,-0.2381195170168281
B2 only (HSV histogram),32,0.5890488280297385,-0.2641193833881551
B3 only (lesion chromaticity),8,0.4049878571643087,-0.4481803542535849
B4 only (GLCM texture),24,0.4464129013367554,-0.4067553100811382
B5 only (uniform LBP),10,0.31125095046917495,-0.5419172609487186
B6 only (shape),5,0.34948608728212893,-0.5036821241357646
